Total_Sales,Total_Profit,Orders_Count,Margin,Total_Sales_Proportion
1509436.27328,258567.54817999998,2223,17.130073839959707,0.11939379436442
1706824.1392,216717.00579999998,3357,12.697090509955917,0.1350068326164248
1466572.2418,161924.4195,2411,11.04101215643232,0.11600332372929183
1011064.3049999999,141680.5894,1755,14.013014671702805,0.07997343502158084
1501681.7641999999,140396.2675,3434,9.349268989411625,0.11878042612961356
749237.0185,129626.30619999999,3075,17.30110806050622,0.05926335023247875
1127085.8614,108461.4898,5059,9.623178988801747,0.08915053914440722
461911.50570000004,72449.84599999999,6152,15.684789208748212,0.036536399914562825
244291.7194,59207.6827,3538,24.236467304507414,0.019323051809000576
779060.0671000001,58867.87299999998,1486,7.556268827785227,0.0616223017131737
372091.9659,57953.9109,4883,15.575157813424855,0.029431829914078438
385578.2559,46967.4255,3170,12.181035828996809,0.030498572090281756
170904.3016,29601.116299999998,2435,17.320287449101865,0.013518234192746281
243074.2206,22583.263099999996,2425,9.290686212736126,0.01922674976303857
73404.03,15010.512,2606,20.449166074396736,0.0058061316124963696
83242.3159,11525.4241,2420,13.845631245826498,0.006584322983961496
757041.9244,-64083.388699999996,861,-8.464972233973675,0.05988070476844291
